GEM plant ID,Plant name (English),Plant name (other language),Other plant names (English),Other plant names (other language),Owner,Owner (other language),Owner GEM entity ID,Owner PermID,SOE status,Parent (English),Parent GEM entity ID,Parent PermID,Location address,Location address (other language),Municipality,Subnational unit,Country/area,Region,Coordinates,Coordinate accuracy,GEM wiki page,Plant age,Announced date,Construction date,Start date,Pre-retirement announcement date,Idled date,Retired date,Ferronickel capacity (ttpa),Sinter plant capacity (ttpa),Coking plant capacity (ttpa),Pelletizing plant capacity (ttpa),Category steel product,Steel products,Steel sector end users,Workforce size,ISO 14001,ISO 50001,ResponsibleSteel certification,Main production equipment,Power source,Iron ore source,Met coal source,Total capacity (ttpa),Latitude,Longitude,Country_code,distance_degrees,litpop_index,LitPop_value,LitPop_latitude,LitPop_longitude,LitPop_region_id,LitPop_impf
P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,安徽首矿大昌金属材料有限公司,"Lu'an Iron and Steel Holding Group Special Steel Co., Ltd.",六安钢铁控股集团旗下安徽首矿大昌金属材料有限公司,Anhui Shoukuang Dachang Metal Material Co Ltd,安徽首矿大昌金属材料有限公司,E100000126761,unknown,,CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],E100000128793 [89.0%]; E100000128301 [7.9%]; E100000132388 [3.1%],unknown [89.0%]; unknown [7.9%]; unknown [3.1%],"Economic Development Zone, Huoqiu Couty, Liuan City, Anhui Province",六安市霍邱县经济开发区,liuan,Anhui,China,Asia Pacific,"32.3291710, 115.9549630",exact,https://www.gem.wiki/Anhui_Shoukuang_Dachang_Metal_Material_Co_Ltd,16.0,unknown,unknown,2010,unknown,unknown,unknown,,,1200.0,,finished rolled,"bar, coil, wire, hot rolled","automotive, tools and machinery",3955,2024-12-12 00:00:00,2023-12-29 00:00:00,no,BF; BOF,Ultra-high Temperature Subcritical Coal Gas Power Generation Unit,Huoqiu Iron Mine,unknown,1200.0,32.329171,115.954963,CHN,0.037655462990887546,96127,26192474.427464876,32.29166667,115.95833333,156,1
P100000120231,Anshan Baode Iron and Steel Co Ltd,鞍山宝得钢铁有限公司,,,Anshan Baode Iron & Steel Co Ltd,鞍山宝得钢铁有限公司,E100000126417,unknown,,Anshan Baode Iron & Steel Co Ltd [100.0%],E100000126417 [100.0%],unknown [100.0%],Chengang Street,辽宁省鞍山市千山区鞍腾路1号,unknown,Liaoning,China,Asia Pacific,"41.1736130, 122.9455010",exact,https://www.gem.wiki/Anshan_Baode_Iron_and_Steel_Co_Ltd,26.73,unknown,unknown,1999-05-28 00:00:00,unknown,unknown,unknown,,2395.0,,,finished rolled,"i-beam, angle, h-beam","automotive, building and infrastructure, tools and machinery",2235,2025-05-15 00:00:00,2022-04-06 00:00:00,no,BF; BOF,A 45-megawatt surplus energy supercritical temperature and supercritical pressure power station,unknown,unknown,2395.0,41.173613,122.945501,CHN,0.03701580754945055,39402,4381066890.384275,41.20833333,122.95833333,156,1
P100000120221,Ansteel Group Chaoyang Steel and Iron Co Ltd,鞍钢集团朝阳鞍凌钢铁有限公司,"Angang Group Chaoyang Anling Iron and Steel Co., Ltd.",鞍钢集团朝阳钢铁有限公司,Angang Steel Co Ltd,鞍钢股份有限公司,E100000126769,unknown,,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],unknown [100.0%],unknown,辽宁省朝阳市龙城区西大营子镇,Xidayingzi,Liaoning,China,Asia Pacific,"41.5289450, 120.3699830",exact,https://www.gem.wiki/Ansteel_Group_Chaoyang_Steel_and_Iron_Co_Ltd,18.59,unknown,unknown,2007-07-19 00:00:00,unknown,unknown,unknown,,,,,finished rolled,"pipe, plate","automotive, building and infrastructure, tools and machinery",2050,2024-07-03 00:00:00,2024-07-03 00:00:00,no,BF; BOF,the world's first 180-megawatt split-type blast furnace gas combined cycle power generation,unknown,unknown,,41.528945,120.369983,CHN,0.013675202981630386,37040,3344426880.8404565,41.54166667,120.375,156,1
P100000120170,Anyang Huixin Special Steel Co Ltd,安阳汇鑫华诚特钢有限公司,"Anyang Huixin Huacheng Special Steel Co., Ltd., Anyang Jinxiu Steel Co., Ltd., Anyang Huacheng Special Steel Co., Ltd., Anyang Huacheng Steel Co., Ltd.","安阳华诚特钢有限公司, 安阳锦秀钢铁有限公司, 安阳汇鑫特钢有限公司, 安阳华诚钢铁有限责任公司",Anyang Huixin Special Steel Co Ltd,安阳汇鑫特钢有限公司,E100000126643,unknown,,"Henan Jingchang Coal Chemical Co Ltd [90.0%]; Henan Xinlei Group HOLDINGS Co Ltd [6.2%]; Henan LIYUAN Coking Group Co Ltd [1.3%]; Henan Shuncheng Group,coal Co Ltd [1.3%]; Henan Yulong Coking Co Ltd [1.3%]",E100000127613 [90.0%]; E100000128836 [6.2%]; E100000128827 [1.3%]; E100000128828 [1.3%]; E100000128829 [1.3%],unknown [90.0%]; unknown [6.2%]; unknown [1.3%]; unknown [1.3%]; unknown [1.3%],"Dongjiang Village, Shuiye Town, Anyang County, Anyang City, Henan Province",河南省安阳市安阳县水冶镇东蒋村,Anyang,Henan,China,Asia Pacific,"36.1524180, 114.1583900",exact,https://www.gem.wiki/Anyang_Huixin_Special_Steel_Co_Ltd,21.0,unknown,unknown,2004,2023-06-07 00:00:00,2024-03-01 00:00:00,2025,,,,,semi-finished,billet,unknown,unknown,expired,unknown,no,BF; BOF,unknown,unknown,unknown,,36.152418,114.15839,CHN,0.04320461577192488,73027,3691623504.775808,36.125,114.125,156,1
P100000120160,Anyang Iron and Steel Co Ltd,河南钢铁集团,,安阳钢铁股份有限公司,Anyang Iron & Steel Co Ltd,安阳钢铁股份有限公司,E100001000432,4295864803,,Anyang Iron & Steel Co Ltd [100.0%],E100001000432 [100.0%],4295864803 [100.0%],"No. 502 Angang Avenue, Yindu District, Anyang City, Henan Province",河南省安阳市殷都区安钢大道502号,Anyang,Henan,China,Asia Pacific,"36.1221290, 114.2831450",exact,https://www.gem.wiki/Anyang_Iron_and_Steel_Co_Ltd,68.0,unknown,unknown,1958,unknown,unknown,unknown,,,,,finished rolled,"pipe, wire, plate, hot rolled",unknown,12094,expired,expired,no,BF; BOF; EAF,coal gas recovery power station&waste heat power generation unit,unknown,unknown,,36.122129,114.283145,CHN,0.008992302296340978,73029,17037663839.757977,36.125,114.29166667,156,1
P100000120166,Anyang Xinpu Steel Co Ltd,安阳市新普钢铁有限公司,"Angang Group Xinpu Co., Ltd.",安钢集团新普有限公司,Anyang Xinpu Steel Co Ltd,安阳市新普钢铁有限公司,E100000126159,unknown,,natural person(s) [49.0%]; Minyuan Iron and Steel Group Co Ltd [34.0%]; Fujian Mingfa Investment Co Ltd [17.0%],E100000123261 [49.0%]; E100000123185 [34.0%]; E100000124295 [17.0%],unknown [49.0%]; unknown [34.0%]; unknown [17.0%],"Beimeng Industrial Park, Yindu District, Anyang City, Henan Province",河南省安阳市殷都区北蒙工业园区,Anyang,Henan,China,Asia Pacific,"36.1632030, 114.2962230",exact,https://www.gem.wiki/Anyang_Xinpu_Steel_Co_Ltd,20.41,unknown,unknown,2005,2022-12-05 00:00:00,unknown,2025-06-01 00:00:00,,,,,"semi-finished, finished rolled","billet, round bar, rebar, wire",unknown,unknown,expired,expired,no,BF; BOF,unknown,unknown,unknown,,36.163203,114.296223,CHN,0.03847374886944496,73029,17037663839.757977,36.125,114.29166667,156,1
P100000120384,Baicheng Fuda Bar Rolling Co Ltd,白城市富达棒材轧制有限公司,,,Baicheng Fuda Bar Rolling Co Ltd,白城市富达棒材轧制有限公司,E100000127199,unknown,,Baicheng Fuda Bar Rolling Co Ltd [100.0%],E100000127199 [100.0%],unknown [100.0%],Zhujiang Road,吉林省白城市工业园区珠江路,Baicheng Industrial Park,Jilin,China,Asia Pacific,"45.5933030, 122.8955880",exact,https://www.gem.wiki/Baicheng_Fuda_Bar_Rolling_Co_Ltd,16.31,unknown,unknown,2009-10-27 00:00:00,unknown,unknown,unknown,,,,,finished rolled,bar,unknown,30,unknown,unknown,no,EAF,State Power Investment Corporation Jilin Longhua Baicheng Combined Heat and Power Plant.,unknown,unknown,,45.593303,122.895588,CHN,0.037796369574341716,15548,4030918213.477184,45.625,122.875,156,1
P100000120256,Baoshan Iron and Steel Co Ltd Headquarters,宝山钢铁股份有限公司 (宝山基地),China Baowu Steel Group,,Baoshan Iron & Steel Co Ltd,宝山钢铁股份有限公司,E100000122571,4295864974,,Baoshan Iron & Steel Co Ltd [100.0%],E100000122571 [100.0%],4295864974 [100.0%],Fujin Street No. 885,上海市宝山区富锦路885号,unknown,Shanghai,China,Asia Pacific,"31.4162300, 121.4400870",exact,https://www.gem.wiki/Baoshan_Iron_and_Steel_Co_Ltd_Headquarters,49.0,unknown,unknown,1977,unknown,unknown,unknown,,,,,finished rolled,"structural, plate, hot rolled","automotive, building and infrastructure, tools and machinery",12859,2024-12-22 00:00:00,2024-06-12 00:00:00,no,BF; BOF; EAF; Iron other/unspecified,"Baoshan Iron & Steel Co., Ltd. Power Plant",unknown,unknown,,31.41623,121.440087,CHN,0.045087043132907664,101817,72345769161.90762,31.375,121.45833333,156,1
P100000120336,Baosteel Desheng Stainless Steel Co Ltd,宝钢德盛不锈钢有限公司,"Fujian Desheng Nickel Industry Co., Ltd.",福建德盛镍业有限公司,Baosteel Desheng Stainless Steel Co Ltd,宝钢德盛不锈钢有限公司,E100000127278,unknown,,China Baowu Steel Group Co Ltd [70.0%]; Fujian Wugang Group Co Ltd [30.0%],E100001000472 [70.0%]; E100000127616 [30.0%],5000039946 [70.0%]; unknown [30.0%],"Jingang Industrial Zone, Luoyuanwan Development Zone, Luoyuan County，Fuzhou City，Fujian Province",福建省福州市罗源县罗源湾开发区金港工业区,Fuzhou,Fujian,China,Asia Pacific,"26.4874700, 119.6544610",exact,https://www.gem.wiki/Baosteel_Desheng_Stainless_Steel_Co_Ltd,15.0,unknown,unknown,2011,unknown,unknown,unknown,,2960.0,,,finished rolled,unknown,unknown,2155,2025-07-31 00:00:00,2023-04-27 00:00:00,no,BF; BOF,27.54MW Photovoltaic Power Station,unknown,unknown,2960.0,26.48747,119.654461,CHN,0.06124682423047137,124890,53661889.35483706,26.45833333,119.70833333,156,1
P100000120289,Baosteel Group Xinjiang Bayi Iron and Steel Co Ltd,"新疆八一钢铁集团有限责任公司, 宝钢集团新疆八一钢铁有限责任公司","Baosteel Group Xinjiang Bayi Iron and Steel Co., Ltd., Xinjiang Bayi Iron and Steel Group Co., Ltd.",宝钢集团新疆八—钢铁有限公司,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,宝钢集团新疆八—钢铁有限公司,E100001012045,5000069959,,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd [100.0%],E100001012045 [100.0%],5000069959 [100.0%],Bayi Road,新疆乌鲁木齐市头屯河区八一路,Ürümqi,Xinjiang,China,Asia Pacific,"43.8521470, 87.3046390",exact,https://www.gem.wiki/Baosteel_Group_Xinjiang_Bayi_Iron_and_Steel_Co_Ltd,30.34,unknown,unknown,1995-10-20 00:00:00,unknown,unknown,unknown,,,,,finished rolled,"cold rolled, wire rod, plate, hot rolled",unknown,3058,2023-05-23 00:00:00,2023-05-23 00:00:00,no,BF; BOF; EAF; Iron other/unspecified,Xinjiang Electric Power Company,unknown,unknown,,43.852147,87.304639,CHN,0.026278145951126614,23286,931469524.817334,43.875,87.29166667,156,1
P100000120257,Baosteel Special Steel Co Ltd,宝钢特钢有限公司,Shanghai No. 5 Iron and Steel Plant,,Baosteel Special Metals Co Ltd,宝钢特钢有限公司,E100000127209,unknown,,China Baowu Steel Group Co Ltd [100.0%],E100001000472 [100.0%],5000039946 [100.0%],No. 1269 Shuichan Road,上海市宝山区吴淞工业区水产路1269号,Wusong Industrial Zone,Shanghai,China,Asia Pacific,"31.3794220, 121.4846520",exact,https://www.gem.wiki/Baosteel_Special_Steel_Co_Ltd,65.41,unknown,unknown,1958,2022-05-25 00:00:00,unknown,2023-06-01 00:00:00,,,,,finished rolled,"plate, rod, coil, wire, profile","automotive, building and infrastructure, tools and machinery",unknown,expired,expired,no,EAF,150MW Gas-fired Power Generation Unit,unknown,unknown,,31.379422,121.484652,CHN,0.026687571537489987,101817,72345769161.90762,31.375,121.45833333,156,1
P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,宝钢湛江钢铁有限公司,,,Baosteel Zhanjiang Iron & Steel Co Ltd,宝钢湛江钢铁有限公司,E100000121815,unknown,Partial,Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],E100000122571 [90.0%]; E100000000194 [10.0%],4295864974 [90.0%]; 5000609284 [10.0%],"No. 18 Dongdao Avenue, Dongjian Street, Zhanjiang Economic and Technological Development Zone, Zhanjiang City, Guangdong Province",湛江经济技术开发区东简街道办岛东大道18号,Zhanjiang,Guangdong,China,Asia Pacific,"21.0560350, 110.4865700",exact,https://www.gem.wiki/Baosteel_Zhanjiang_Iron_and_Steel_Co_Ltd,15.0,unknown,unknown,2011,unknown,unknown,unknown,,14488.0,4018.0,,finished rolled,"sheet, plate",unknown,4956,2024-01-16 00:00:00,2024-12-16 00:00:00,no,BF; BOF; DRI; EAF,Photovoltaic Power Generation,"Australia, Brazil",unknown,18506.0,21.056035,110.48657,CHN,0.031682147018118924,423,1178377706.3453572,21.04166667,110.45833333,156,1
P100000121076,Baotou Baoxin Special Steel Co Ltd,包头市宝鑫特钢有限责任公司,,,Baotou Baoxin Special Steel Co Ltd,包头市宝鑫特钢有限责任公司,E100000126820,unknown,,Baotou Baoxin Special Steel Co Ltd [100.0%],E100000126820 [100.0%],unknown [100.0%],Shibao Indsutrial Park,内蒙古自治区包头市达尔罕茂明安联合旗石宝工业园区,unknown,Inner Mongolia,China,Asia Pacific,"41.3629250, 110.9887710",exact,https://www.gem.wiki/Baotou_Baoxin_Special_Steel_Co_Ltd,17.39,unknown,unknown,2007-07-11 00:00:00,unknown,2022-06-29 00:00:00,2024-12-01 00:00:00,,,,,"semi-finished, finished rolled","billet, special",unknown,unknown,expired,unknown,no,BF; BOF,unknown,unknown,unknown,,41.362925,110.988771,CHN,0.0327453413484855,38102,883833.8895358075,41.375,110.95833333,156,1
P100000121143,Baotou Da'an Iron and Steel Co Ltd Kundulun District,包头市大安钢铁有限责任公司,,,Baotou DA AN IRON&STEEL Co Ltd,包头市大安钢铁有限责任公司,E100000126606,unknown,,Baotou DA AN IRON&STEEL Co Ltd [100.0%],E100000126606 [100.0%],unknown [100.0%],Xiha Line,内蒙古自治区包头市昆都仑区卜尔汉图镇西哈线,Burhantu,Inner Mongolia,China,Asia Pacific,"40.7151190, 109.8216530",approximate,https://www.gem.wiki/Baotou_Da'an_Iron_and_Steel_Co_Ltd_Kundulun_District,,2022-04-01 00:00:00,unknown,unknown,unknown,unknown,unknown,,,,,finished rolled,"rebar, wire",unknown,unknown,unknown,unknown,no,BF; BOF,unknown,unknown,unknown,,40.715119,109.821653,CHN,0.030744516652856668,42747,16316239267.774508,40.70833333,109.79166667,156,1
P100000120186,Baotou Daan Iron and Steel Co Ltd Hondlon District,包头市大安钢铁有限责任公司,,,Baotou DA AN IRON&STEEL Co Ltd,包头市大安钢铁有限责任公司,E100000126606,unknown,,Baotou DA AN IRON&STEEL Co Ltd [100.0%],E100000126606 [100.0%],unknown [100.0%],unknown,内蒙古自治区包头市昆都仑区卜尔汉图镇,Bu'er Hantu,Inner Mongolia,China,Asia Pacific,"40.6623430, 109.6983330",exact,https://www.gem.wiki/Baotou_Daan_Iron_and_Steel_Co_Ltd_Hondlon_District,22.81,unknown,unknown,2002,2022-04-13 00:00:00,2023,2024-10-23 00:00:00,,,,,finished rolled,"rebar, wire","building and infrastructure, tools and machinery, transport",3317,expired,expired,no,BF; BOF,unknown,unknown,unknown,,40.662343,109.698333,CHN,0.038658844384032366,43321,563557793.4713724,40.625,109.70833333,156,1
P100000121142,Baotou Deshun Special Steel Co Ltd,包头市德顺特钢有限责任公司,,,Baotou Deshun Spec. Steel Co Ltd,包头市德顺特钢有限责任公司,E100001012095,unknown,,Baotou Deshun Spec. Steel Co Ltd [100.0%],E100001012095 [100.0%],unknown [100.0%],"Guyang County, Baotou City, Inner Mongolia Autonomous Region",内蒙古自治区包头市固阳县下湿壕镇白银合套村,Baotou,Inner Mongolia,China,Asia Pacific,"40.9019000, 110.3362530",exact,https://www.gem.wiki/Baotou_Deshun_Special_Steel_Co_Ltd,18.9,unknown,unknown,2007-03-27 00:00:00,unknown,unknown,unknown,,,,,unknown,unknown,unknown,unknown,unknown,unknown,no,BF; BOF,unknown,unknown,unknown,,40.9019,110.336253,CHN,0.047169269752667733,41594,1018690.4685914837,40.875,110.375,156,1
